Player,Pos,Age,Team,Birth Date
Player_528,PG,36,Orlando Magic,1981-04-01
Player_529,SF,25,Oklahoma City Thunder,1991-10-13
Player_530,SG,28,Boston Celtics,1988-11-10
Player_531,PF,22,Boston Celtics,1995-05-11
Player_532,SF,26,Miami Heat,1990-11-04
Player_533,C,22,Cleveland Cavaliers,1995-09-12
Player_534,C,18,Indiana Pacers,1999-01-02
Player_535,PG,30,Atlanta Hawks,1987-05-26
Player_536,SG,34,Chicago Bulls,1983-04-24
Player_537,PF,28,Orlando Magic,1989-09-02
Player_538,C,20,Los Angeles Clippers,1997-04-04
Player_539,SG,25,Utah Jazz,1992-09-23
Player_540,SF,33,Sacramento Kings,1984-01-28
Player_541,SG,18,San Antonio Spurs,1999-03-11
Player_542,PF,37,Los Angeles Lakers,1980-05-14
Player_543,SG,27,Portland Trail Blazers,1990-04-12
Player_544,SF,37,Philadelphia 76ers,1980-07-04
Player_545,SG,20,Phoenix Suns,1997-02-09
Player_546,PF,28,Sacramento Kings,1989-05-25
Player_547,C,31,Milwaukee Bucks,1986-05-02
Player_548,PG,20,Washington Wizards,1997-07-20
Player_549,PG,31,Orlando Magic,1985-11-13
Player_550,C,32,Los Angeles Lakers,1984-12-06
